Annee;Metier;Contrat;Sexe;Effectif
2020;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Femme;1411
2020;Manager de proximité, maitrise;Cadre permanent;Homme;32301
2020;Ingénieurs et cadres;Contractuels;Femme;2012
2020;Conducteurs;Contractuels;Femme;64
2021;Ingénieurs et cadres;Cadre permanent;Femme;7157
2021;Ingénieurs et cadres;Contractuels;Homme;3696
2021;Agent commercial à bord des trains;Cadre permanent;Femme;2064
2021;Agent commercial à bord des trains;Contractuels;Femme;221
2022;Exécution;Cadre permanent;Femme;8119
2022;Manager de proximité, maitrise;Cadre permanent;Homme;42004
2022;Exécution;Contractuels;Homme;11583
2023;Exécution;Cadre permanent;Femme;7278
2023;Manager de proximité, maitrise;Cadre permanent;Femme;8169
2023;Exécution;Contractuels;Femme;3539
2012;Manager de proximité, maitrise;Cadre permanent;Femme;7827
2012;Ingénieurs et cadres;Cadre permanent;Femme;6177
2013;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;41706
2013;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;3052
2013;Manager de proximité, maitrise;Contractuels;Homme;1635
2013;Ingénieurs et cadres;Contractuels;Femme;1464
2013;Agent commercial à bord des trains;Cadre permanent;Homme;5172
2014;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;3115
2014;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Femme;1587
2014;Ingénieurs et cadres;Cadre permanent;Femme;6292
2014;Ingénieurs et cadres;Contractuels;Homme;2572
2014;Agent commercial à bord des trains;Contractuels;Homme;278
2015;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;38256
2015;Agent commercial à bord des trains;Contractuels;Femme;198
2015;Conducteurs;Cadre permanent;Homme;13665
2015;Conducteurs;Contractuels;Homme;389
2015;Conducteurs;Contractuels;Femme;12
2016;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Femme;1484
2016;Agent commercial à bord des trains;Contractuels;Femme;255
2016;Conducteurs;Cadre permanent;Homme;13594
2017;Manager de proximité, maitrise;Cadre permanent;Homme;32995
2017;Ingénieurs et cadres;Cadre permanent;Femme;6689
2017;Ingénieurs et cadres;Contractuels;Homme;2829
2018;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;3948
2018;Ingénieurs et cadres;Contractuels;Femme;1773
2019;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Femme;1114
2019;Manager de proximité, maitrise;Contractuels;Homme;3239
2019;Agent commercial à bord des trains;Contractuels;Femme;295
2020;Manager de proximité, maitrise;Contractuels;Homme;3497
2020;Ingénieurs et cadres;Cadre permanent;Homme;19436
2020;Agent commercial à bord des trains;Cadre permanent;Homme;3675
2020;Conducteurs;Cadre permanent;Homme;12901
2020;Conducteurs;Cadre permanent;Femme;400
2020;Conducteurs;Contractuels;Homme;1229
2021;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;26488
2021;Manager de proximité, maitrise;Contractuels;Homme;2840
2021;Ingénieurs et cadres;Contractuels;Femme;2143
2022;Ingénieurs et cadres;Contractuels;Homme;4214
2023;Exécution;Cadre permanent;Homme;25555
2023;Ingénieurs et cadres;Cadre permanent;Homme;19256
2023;Manager de proximité, maitrise;Contractuels;Homme;6640
;;;;
;;;;
;;;;14026
