fauteuils;entrees_2018;entrees_2017;proprietaire;part des seances de films Art et Essai;latitude;longitude;num_auto;region_administrative;code_INSEE;population_de_la_commune;departement;num_UU;unite_urbaine;population_unite_urbaine;situation_geographique;ecrans;semaines_d_activite;seances;evolution_entrees;tranche_d_entrees;categorie_Art_et_Essai;label_Art_et_Essai;zone_de_la_commune;nombre_de_films_programmes;nombre_de_films_inedits;nombre_de_films_en_semaine_1;PdM_en_entrees_des_films_francais;PdM_en_entrees_des_films_americains;PdM_en_entrees_des_films_europeens;PdM_en_entrees_des_autres_films;films_Art_et_Essai;PdM_en_entrees_des_films_Art_et_Essai
356;114 874;109 632;LES ECRANS DE PARIS;97;48.860238;2.37214;5852;ILE-DE-FRANCE;75111;149834;75;851;Paris;10706072;Paris;2;53;4 123;5%;De 100 à 150 000 entrées;catégorie A;RDJP;commune-centre;230;91;44;49,8;16,6;22,8;10,7;204;97
469;251 653;228 732;MK2;83;48.854674;2.369381;5861;ILE-DE-FRANCE;75111;149834;75;851;Paris;10706072;Paris;4;53;8 108;10%;De 200 à 300 000 entrées;non classé;;commune-centre;124;100;64;54,9;16,6;21,7;6,8;105;84,2
976;4 731;241 215;MK2;11;48.848213;2.39311;6212;ILE-DE-FRANCE;75112;142340;75;851;Paris;10706072;Paris;4;2;154;-98,00%;De 2 à 5 000 entrées;non classé;;commune-centre;6;0;0;53,3;46,7;0;0;1;8,6
1274;308 721;347 318;UGC;12,4;48.847502;2.371855;6531;ILE-DE-FRANCE;75112;142340;75;851;Paris;10706072;Paris;7;53;14 210;-11,10%;De 300 à 450 000 entrées;non classé;;commune-centre;167;122;119;39,3;49,9;10,8;0;48;10,1
4440;1 856 550;2 061 609;UGC;32,3;48.833595;2.38604;6611;ILE-DE-FRANCE;75112;142340;75;851;Paris;10706072;Paris;18;53;39 772;-9,90%;De 1,5 à 2 millions d'entrées;non classé;;commune-centre;341;282;280;27,9;52,9;17,3;1,9;135;25,2
365;79 156;85 003;CINEMA CHAPLIN;68;48.843204;2.298558;7231;ILE-DE-FRANCE;75115;234994;75;851;Paris;10706072;Paris;3;50;5 263;-6,90%;De 50 à 80 000 entrées;catégorie A;RDJP;commune-centre;370;228;10;55,4;17,7;19,8;7,2;282;73,1
1263;457 740;439 311;Les cinemas GAUMONT-PATHE;61,6;48.837759;2.296259;7394;ILE-DE-FRANCE;75115;234994;75;851;Paris;10706072;Paris;9;53;18 223;4%;De 450 à 700 000 entrées;non classé;;commune-centre;205;173;154;49,7;25,1;20,1;5;119;56,3
2583;708 611;736 176;Les cinemas GAUMONT-PATHE;11,9;48.830408;2.276322;7491;ILE-DE-FRANCE;75115;234994;75;851;Paris;10706072;Paris;14;53;29 163;-3,70%;De 700 000 à 1 million d'entrées;non classé;;commune-centre;257;212;208;21,7;63,1;14,2;1;45;8,5
397;151 340;174 511;Les cinemas GAUMONT-PATHE;70,3;48.841914;2.324596;7711;ILE-DE-FRANCE;75114;139992;75;851;Paris;10706072;Paris;4;53;8 270;-13,30%;De 150 à 200 000 entrées;non classé;;commune-centre;149;138;19;47,9;16,2;29,1;6,9;90;68
1384;443 203;463 114;Les cinemas GAUMONT-PATHE;27,4;48.828166;2.327463;8132;ILE-DE-FRANCE;75114;139992;75;851;Paris;10706072;Paris;8;53;17 248;-4,30%;De 300 à 450 000 entrées;non classé;;commune-centre;180;141;130;38,9;46,5;13,8;0,9;57;25
133;35 918;36 535;CINEMA CHAPLIN;73,6;48.833879;2.330976;8161;ILE-DE-FRANCE;75114;139992;75;851;Paris;10706072;Paris;1;53;1 747;-1,70%;De 30 à 40 000 entrées;catégorie A;JP;commune-centre;244;135;4;55,4;17,8;19,1;7,7;198;82,8
595;145 091;148 351;LES ECRANS DE PARIS;96,6;48.851278;2.330648;8291;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;Paris;3;53;5 258;-2,20%;De 100 à 150 000 entrées;catégorie A;RDPR;commune-centre;251;88;60;60,2;4,9;22;12,9;155;90,2
684;226 027;222 504;UGC;60,7;48.852138;2.338995;8331;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;Paris;4;53;8 380;2%;De 200 à 300 000 entrées;non classé;;commune-centre;95;88;59;51,9;25,1;20,3;2,7;53;59,9
119;28 602;28 807;CINEDEVIL;95;48.850764;2.341747;8341;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;Paris;1;53;1 669;-0,70%;De 20 à 30 000 entrées;catégorie A;;commune-centre;97;19;10;70,8;1,5;22,6;5,1;87;95,2
722;248 480;279 923;UGC;51,3;48.852353;2.339834;8353;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;Paris;5;53;10 803;-11,20%;De 200 à 300 000 entrées;non classé;;commune-centre;130;120;87;49,8;26,6;19,3;4,3;58;57
210;45 611;47 744;SOCIETE DE DIFFUSION AUDIO-VISUELLE SODIAV;95,2;48.853093;2.344228;8361;ILE-DE-FRANCE;75105;59333;75;851;Paris;10706072;Paris;2;53;4 002;-4,50%;De 40 à 50 000 entrées;catégorie A;RD;commune-centre;77;42;41;58,3;10,8;10,9;19,9;72;96,2
200;41 578;42 730;MOCKY DELICIOUS PRODUCTS;83,8;48.848384;2.348973;8374;ILE-DE-FRANCE;75105;59333;75;851;Paris;10706072;Paris;2;53;3 384;-2,70%;De 40 à 50 000 entrées;catégorie A;PR;commune-centre;308;0;0;46,6;40,8;12,6;0;261;85,1
200;28 670;31 905;SOCIETE D'EXPLOITATION DU CINEMA DU PANTHEON;99,5;48.847502;2.342301;8391;ILE-DE-FRANCE;75105;59333;75;851;Paris;10706072;Paris;1;53;1 644;-10,10%;De 20 à 30 000 entrées;catégorie A;RD;commune-centre;72;21;6;86,3;1,8;8,7;3,2;66;97,9
73;9 951;10 024;SARL CINEPOQUE;77,6;48.84815;2.341975;8392;ILE-DE-FRANCE;75105;59333;75;851;Paris;10706072;Paris;1;52;800;-0,70%;De 5 à 10 000 entrées;catégorie A;;commune-centre;91;70;1;76;8,8;10;5,1;78;73,3
236;106 522;100 046;SOCIETE D'EXPLOITATION DU CHAMPOLLION STUDIO DES ECOLES;94,8;48.849983;2.343211;8422;ILE-DE-FRANCE;75105;59333;75;851;Paris;10706072;Paris;2;53;4 020;6%;De 100 à 150 000 entrées;catégorie A;PR;commune-centre;209;12;1;34,5;24,9;31,5;9,1;191;96,1
164;99 940;100 690;CINE SORBONNE;95,2;48.849504;2.342788;8425;ILE-DE-FRANCE;75105;59333;75;851;Paris;10706072;Paris;2;53;3 711;-0,70%;De 80 à 100 000 entrées;catégorie A;PR;commune-centre;419;5;3;20,4;51,5;15,7;12,4;371;96,1
122;29 384;30 522;LE STUDIO DES URSULINES;60,5;48.842733;2.342044;8451;ILE-DE-FRANCE;75105;59333;75;851;Paris;10706072;Paris;1;50;1 320;-3,70%;De 20 à 30 000 entrées;catégorie A;JPPR;commune-centre;136;14;5;23;14,4;35,9;26,7;122;91,3
372;95 170;105 540;LES ECRANS DE PARIS;93,1;48.849591;2.342836;8513;ILE-DE-FRANCE;75105;59333;75;851;Paris;10706072;Paris;3;53;5 366;-9,80%;De 80 à 100 000 entrées;catégorie A;RDPR;commune-centre;205;57;31;50;9,5;18,9;21,5;156;92,5
140;35 205;33 949;SNES (Font);85,4;48.841535;2.34958;8514;ILE-DE-FRANCE;75105;59333;75;851;Paris;10706072;Paris;2;53;3 147;4%;De 30 à 40 000 entrées;non classé;;commune-centre;116;87;0;60,5;14;20,6;4,9;96;85,6
188;17 540;51 321;COMITE D'ENTREPRISE DE LA CAISSE D'EPARGNE;93,4;48.841154;2.353269;8522;ILE-DE-FRANCE;75105;59333;75;851;Paris;10706072;Paris;2;16;914;-65,80%;De 10 à 20 000 entrées;non classé;;commune-centre;69;22;2;62,8;15,2;9,5;12,5;54;92,5
346;60 222;63 025;MOTEUR;77,8;48.847537;2.352122;8531;ILE-DE-FRANCE;75105;59333;75;851;Paris;10706072;Paris;2;53;3 190;-4,40%;De 50 à 80 000 entrées;catégorie A;PR;commune-centre;246;21;12;15,7;57,7;25,1;1,5;189;79,6
645;162 846;167 812;Les cinemas GAUMONT-PATHE;63;48.833574;2.353775;8621;ILE-DE-FRANCE;75113;183216;75;851;Paris;10706072;Paris;5;53;9 910;-3,00%;De 150 à 200 000 entrées;non classé;;commune-centre;139;107;93;43,1;32,1;22,7;2,1;80;61,2
1140;177 132;74 045;UGC;43;48.832888;2.354241;8632;ILE-DE-FRANCE;75113;183216;75;851;Paris;10706072;Paris;11;21;8 747;139%;De 150 à 200 000 entrées;non classé;;commune-centre;147;121;80;52,6;29;14,4;3,9;78;43,2
329;98 885;101 980;LES ECRANS DE PARIS;96,8;48.836817;2.349632;8661;ILE-DE-FRANCE;75113;183216;75;851;Paris;10706072;Paris;2;53;3 934;-3,00%;De 80 à 100 000 entrées;catégorie A;RD;commune-centre;210;116;48;56,2;13,5;12,8;17,5;192;98,1
92;15 672;16 285;MK2;88,5;48.8649;2.314116;9351;ILE-DE-FRANCE;75108;36694;75;851;Paris;10706072;Paris;1;53;1 392;-3,80%;De 10 à 20 000 entrées;non classé;;commune-centre;52;42;1;57,8;18,7;11,4;12;41;84
556;225 196;223 620;VILLE DE PARIS;94,4;48.883487;2.349853;9452;ILE-DE-FRANCE;75110;91770;75;851;Paris;10706072;Paris;3;53;6 146;1%;De 200 à 300 000 entrées;catégorie A;RDJPPR;commune-centre;304;86;44;47,3;20,4;19,4;12,9;266;96,1
2981;1 380 261;1 557 918;MK2;34,2;48.833718;2.373922;9600;ILE-DE-FRANCE;75113;183216;75;851;Paris;10706072;Paris;16;53;35 182;-11,40%;De 1 à 1,5 million d'entrées;non classé;;commune-centre;445;323;290;23,6;54,7;18;3,7;210;31,1
520;158 105;173 688;MK2;72,5;48.832993;2.378615;9616;ILE-DE-FRANCE;75113;183216;75;851;Paris;10706072;Paris;4;53;9 237;-9,00%;De 150 à 200 000 entrées;non classé;;commune-centre;199;182;52;46,3;19,9;18,4;15,5;121;77
1962;821 928;922 671;Les cinemas GAUMONT-PATHE;23,5;48.848895;2.282585;9700;ILE-DE-FRANCE;75115;234994;75;851;Paris;10706072;Paris;10;53;21 579;-10,90%;De 700 000 à 1 million d'entrées;non classé;;commune-centre;194;161;151;32,5;52,1;14,9;0,5;52;21,6
161;9 019;9 129;SOCIETE CINEMATOGRAPHIQUE THEATRALE ET AUDIOVISUELLE CTAV 14;39,1;48.876113;2.295345;9802;ILE-DE-FRANCE;75117;168533;75;851;Paris;10706072;Paris;1;44;235;-1,20%;De 5 à 10 000 entrées;non classé;;commune-centre;105;34;4;44,6;28,7;11,4;15,3;54;43,4
1151;2 597;0;;18,7;48.893315;2.311503;9803;ILE-DE-FRANCE;75117;168533;75;851;Paris;10706072;Paris;7;2;482;#DIV/0!;De 2 à 5 000 entrées;non classé;;commune-centre;13;12;6;45;33,3;6;15,7;4;17,1
1108;463 475;503 065;MK2;41,5;48.885067;2.374123;9900;ILE-DE-FRANCE;75119;185654;75;851;Paris;10706072;Paris;6;53;12 181;-7,90%;De 450 à 700 000 entrées;non classé;;commune-centre;224;157;105;38,7;42,5;17,6;1,3;120;46,8
2790;510 033;576 981;UGC;31,4;48.898991;2.376757;9906;ILE-DE-FRANCE;75119;185654;75;851;Paris;10706072;Paris;14;53;30 822;-11,60%;De 450 à 700 000 entrées;non classé;;commune-centre;355;269;235;29,4;54,6;14,4;1,6;175;23,4
2901;539 379;497 138;Les cinemas GAUMONT-PATHE;15,3;48.897016;2.385181;9920;ILE-DE-FRANCE;75119;185654;75;851;Paris;10706072;Paris;16;53;35 222;8%;De 450 à 700 000 entrées;non classé;;commune-centre;328;227;223;17,5;66,2;14,4;2;89;9,2
1480;238 430;297 024;CGR;11;48.852605;2.406733;9950;ILE-DE-FRANCE;75120;195556;75;851;Paris;10706072;Paris;7;53;13 633;-19,70%;De 200 à 300 000 entrées;non classé;;commune-centre;195;131;125;29,1;56,9;13;1,1;53;9,4
257;79 140;78 313;VILLE D'ACHERES;73,6;48.960956;2.067774;10992;ILE-DE-FRANCE;78005;21053;78;851;Paris;10706072;petite couronne;3;50;4 664;1%;De 50 à 80 000 entrées;catégorie C;RDJP;banlieue;218;157;59;54,9;17,4;20,7;7;165;74
410;7 695;6 660;;55,2;48.807586;2.422346;14693;ILE-DE-FRANCE;94002;44410;94;851;Paris;10706072;grande couronne;1;28;67;16%;De 5 à 10 000 entrées;non classé;;banlieue;63;47;0;74,6;12,8;12,6;0;37;38,6
665;223 111;233 335;CENTRE CULTUREL MUNICIPAL D'ANTONY;72,8;48.753029;2.304782;20931;ILE-DE-FRANCE;92002;61711;92;851;Paris;10706072;grande couronne;4;49;6 059;-4,40%;De 200 à 300 000 entrées;catégorie C;RDJPPR;banlieue;391;290;152;61,6;17,2;13,3;8;303;63,1
328;28 503;28 070;VILLE D'ARCUEIL;66,7;48.801352;2.330702;22634;ILE-DE-FRANCE;94003;21516;94;851;Paris;10706072;grande couronne;2;49;2 196;2%;De 20 à 30 000 entrées;catégorie C;RDJPPR;banlieue;340;232;9;56,4;19,8;17,1;6,7;238;67,6
781;238 051;272 334;MEGARAMA;5,2;48.810228;2.328168;22636;ILE-DE-FRANCE;94003;21516;94;851;Paris;10706072;grande couronne;6;53;10 595;-12,60%;De 200 à 300 000 entrées;non classé;;banlieue;138;116;106;24,3;63,8;11,8;0,2;11;3,1
128;9 046;5 313;VILLE D'ARGENTEUIL;69,3;48.946909;2.249331;23301;ILE-DE-FRANCE;95018;110388;95;851;Paris;10706072;petite couronne;1;48;845;70%;De 5 à 10 000 entrées;catégorie C;;banlieue;142;91;0;43,9;28;22,9;5,2;119;71,4
826;63 970;66 418;VILLE D'ARGENTEUIL;39,3;48.943679;2.24855;23323;ILE-DE-FRANCE;95018;110388;95;851;Paris;10706072;petite couronne;3;53;3 556;-3,70%;De 50 à 80 000 entrées;catégorie C;RDJPPR;banlieue;247;178;45;47,5;37,4;10,2;4,9;149;36,9
829;89 963;115 019;CINAEA;4,9;48.590692;2.250123;24753;ILE-DE-FRANCE;91021;10481;91;851;Paris;10706072;petite couronne;5;53;8 132;-21,80%;De 80 à 100 000 entrées;non classé;;banlieue;148;119;101;35;55,5;9,1;0,4;27;4,3
646;163 334;171 649;LES ECRANS INDEPENDANTS;49,5;48.906327;2.284046;26662;ILE-DE-FRANCE;92004;86512;92;851;Paris;10706072;grande couronne;4;53;6 402;-4,80%;De 150 à 200 000 entrées;catégorie C;JPPR;banlieue;207;150;117;46,4;32,1;16,9;4,5;133;43,4
